Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2020-12;69099;HAUTE RIVOIRE;RSA seul;5;10
2020-12;69100;IRIGNY;RSA seul;125;265
2020-12;69102;JOUX;RSA seul;5;5
2020-12;69104;JULLIE;RSA seul;0;0
2020-12;69113;LETRA;RSA seul;5;10
2020-12;69118;LOIRE SUR RHONE;RSA seul;20;60
2020-12;69126;MARCY;RSA seul;5;20
2020-12;69127;MARCY L ETOILE;RSA seul;35;65
2020-12;69136;MONTAGNY;RSA seul;25;55
2020-12;69143;NEUVILLE SUR SAONE;RSA seul;155;340
2020-12;69145;ODENAS;RSA seul;5;10
2020-12;69155;POMEYS;RSA seul;0;0
2020-12;69160;POULE LES ECHARMEAUX;RSA seul;5;15
2020-12;69162;QUINCIE EN BEAUJOLAIS;RSA seul;5;10
2020-12;69168;ROCHETAILLEE SUR SAONE;RSA seul;35;80
2020-12;69178;SOUZY;RSA seul;0;0
2020-12;69214;SAINT JEAN LA BUSSIERE;RSA seul;10;15
2020-12;69218;SAINT LAGER;RSA seul;5;15
2020-12;69219;SAINT LAURENT D AGNY;RSA seul;15;25
2020-12;49244;MAUGES SUR LOIRE;RSA seul;115;230
2020-12;49257;LES RAIRIES;RSA seul;5;5
2020-12;49269;SAINT CHRISTOPHE DU BOIS;RSA seul;10;25
2020-12;49271;SAINT CLEMENT DE LA PLACE;RSA seul;10;10
2020-12;49294;SAINT LAMBERT LA POTHERIE;RSA seul;25;60
2020-12;49308;SAINT MELAINE SUR AUBANCE;RSA seul;0;0
2020-12;49336;SOMLOIRE;RSA seul;5;10
2020-12;49361;VARENNES SUR LOIRE;RSA seul;25;55
2020-12;49369;VERNOIL LE FOURRIER;RSA seul;15;35
2020-12;50002;AGNEAUX;RSA seul;35;85
2020-12;50031;BARNEVILLE CARTERET;RSA seul;30;60
2020-12;50032;LA BARRE DE SEMILLY;RSA seul;0;0
2020-12;50038;BEAUCHAMPS;RSA seul;5;20
2020-12;50060;LA BLOUTIERE;RSA seul;5;10
2020-12;50072;BRAINVILLE;RSA seul;0;0
2020-12;50074;BRECEY;RSA seul;35;80
2020-12;50092;CAMBERNON;RSA seul;5;10
2020-12;49266;SAINT AUGUSTIN DES BOIS;RSA seul;10;15
2020-12;49267;SAINT BARTHELEMY D ANJOU;RSA seul;170;395
2020-12;49278;SAINTE GEMMES SUR LOIRE;RSA seul;25;40
2020-12;49288;SAINT JEAN DE LA CROIX;RSA seul;0;0
2020-12;49292;VAL DU LAYON;RSA seul;15;20
2020-12;49301;SEVREMOINE;RSA seul;120;240
2020-12;49306;SAINT MARTIN DU FOUILLOUX;RSA seul;5;10
2020-12;43085;DESGES;RSA seul;0;0
2020-12;43096;FONTANNES;RSA seul;5;10
2020-12;43104;GREZES;RSA seul;0;0
2020-12;43122;LISSAC;RSA seul;0;0
2020-12;43162;RETOURNAC;RSA seul;45;75
2020-12;43166;SAINT ANDRE DE CHALENCON;RSA seul;0;0
2020-12;43177;SAINT DIDIER EN VELAY;RSA seul;20;35
2020-12;43204;SAINT JULIEN MOLHESABATE;RSA seul;0;0
2020-12;49121;DENEZE SOUS DOUE;RSA seul;5;10
2020-12;49138;LES BOIS D ANJOU;RSA seul;20;40
2020-12;49161;LA JAILLE YVON;RSA seul;0;0
2020-12;49194;MAZE MILON;RSA seul;45;85
2020-12;49214;MONTREUIL JUIGNE;RSA seul;80;170
2020-12;59301;HERGNIES;RSA seul;95;165
2020-12;59304;HERRIN;RSA seul;5;5
2020-12;59306;HESTRUD;RSA seul;5;10
2020-12;59307;HOLQUE;RSA seul;20;35
2020-12;59309;HONDSCHOOTE;RSA seul;65;150
2020-12;59316;HOUPLIN ANCOISNE;RSA seul;35;50
2020-12;59320;ILLIES;RSA seul;15;25
2020-12;59322;IWUY;RSA seul;110;260
2020-12;59323;JENLAIN;RSA seul;10;15
2020-12;59329;LAMBRES LEZ DOUAI;RSA seul;95;185
2020-12;59332;LANNOY;RSA seul;50;115
2020-12;59342;LEZ FONTAINE;RSA seul;0;0
2020-12;59344;LEVAL;RSA seul;70;135
2020-12;59352;LINSELLES;RSA seul;85;150
2020-12;59357;LA LONGUEVILLE;RSA seul;30;50
2020-12;59364;LOUVIL;RSA seul;5;5
2020-12;59366;LYNDE;RSA seul;5;20
2020-12;59368;LA MADELEINE;RSA seul;540;975
2020-12;59372;MALINCOURT;RSA seul;10;20
2020-12;59387;MARQUETTE EN OSTREVANT;RSA seul;25;50
2020-12;59388;MARQUILLIES;RSA seul;20;40
2020-12;59390;MASNY;RSA seul;210;455
2020-12;59400;MERVILLE;RSA seul;190;440
2020-12;59402;MILLAM;RSA seul;10;20
2020-12;59403;MILLONFOSSE;RSA seul;5;10
2020-12;59410;MONS EN BAROEUL;RSA seul;775;1660
2020-12;59412;MONTAY;RSA seul;10;20
2020-12;59416;MORBECQUE;RSA seul;20;35
2020-12;59421;MOUVAUX;RSA seul;155;305
2020-12;59423;NEUF BERQUIN;RSA seul;15;25
2020-12;59424;NEUF MESNIL;RSA seul;55;115
2020-12;59425;NEUVILLE EN AVESNOIS;RSA seul;5;5
2020-12;59429;NEUVILLE SUR ESCAUT;RSA seul;75;185
2020-12;59434;NIVELLE;RSA seul;10;15
2020-12;59436;NOORDPEENE;RSA seul;5;5
2020-12;59439;NOYELLES SUR SAMBRE;RSA seul;5;5
2020-12;59445;OHAIN;RSA seul;25;45
2020-12;59450;ORS;RSA seul;5;15
2020-12;59452;OSTRICOURT;RSA seul;195;460
2020-12;59453;OUDEZEELE;RSA seul;10;15
2020-12;59456;PECQUENCOURT;RSA seul;310;715
2020-12;59461;PETIT FAYT;RSA seul;0;0
