"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"OBS_STATUS_FR";"TIME_PERIOD";"OBS_VALUE"
"LVB";"M";"82";"DEP";"D";2023-06;204
"LVB";"M";"08";"DEP";"PROV";2025-10;170
"LVB";"M";"05";"DEP";"D";2023-01;97
"LVB";"A";"94";"DEP";"D";2023;17682
"LVB";"M";"13";"DEP";"D";2021-05;2003
"LVB";"M";"84";"DEP";"D";2023-06;454
"LVB";"M";"95";"DEP";"D";2021-01;1357
"LVB";"M";"99";"OTHER";"D";2022-04;97
"LVB";"M";"41";"DEP";"PROV";2026-01;220
"LVB_CUMR";"A";"70";"DEP";"D";2021;145
"LVB";"A";"05";"DEP";"D";2019;1221
"LVB";"M";"23";"DEP";"PROV";2025-07;61
"LVB";"M";"971";"DEP";"D";2024-08;316
"LVB";"M";"2A";"DEP";"D";2021-12;121
"LVB";"A";"17";"DEP";"D";2016;5474
"LVB";"M";"79";"DEP";"D";2023-12;248
"LVB";"M";"11";"DEP";"D";2022-08;278
"LVB";"M";"974";"DEP";"D";2024-05;1043
"LVB";"A";"04";"DEP";"D";2018;1395
"LVB";"M";"67";"DEP";"D";2023-07;872
"LVB";"M";"93";"DEP";"PROV";2025-12;2082
"LVB";"M";"41";"DEP";"D";2023-04;198
"LVB_CUMR";"A";"81";"DEP";"PROV";2025;263
"LVB_CUMR";"A";"21";"DEP";"D";2016;458
"LVB";"M";"17";"DEP";"D";2022-05;420
"LVB";"M";"30";"DEP";"D";2022-07;656
"LVB_CUMR";"A";"82";"DEP";"D";2019;214
"LVB";"M";"99";"OTHER";"D";2022-03;81
"LVB";"M";"07";"DEP";"D";2024-11;176
"LVB";"M";"72";"DEP";"D";2021-07;497
"LVB";"M";"23";"DEP";"D";2024-11;65
"LVB_CUMR";"A";"06";"DEP";"D";2017;1009
"LVB";"A";"971";"DEP";"D";2017;4126
"LVB";"M";"18";"DEP";"D";2022-03;222
"LVB";"A";"40";"DEP";"D";2022;3602
"LVB_CUMR";"A";"82";"DEP";"D";2020;231
"LVB";"A";"29";"DEP";"D";2018;8095
"LVB";"M";"13";"DEP";"PROV";2026-01;1876
"LVB";"M";"973";"DEP";"D";2022-09;699
"LVB";"M";"68";"DEP";"D";2022-01;614
"LVB";"M";"95";"DEP";"PROV";2025-06;1432
"LVB";"M";"12";"DEP";"D";2022-05;180
"LVB";"A";"24";"DEP";"D";2022;3073
"LVB";"M";"24";"DEP";"PROV";2026-01;229
