Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2024-12;26189;MONTAUBAN SUR L OUVEZE;RSA seul;0;0
2024-12;26193;MONTBRUN LES BAINS;RSA seul;5;10
2024-12;27044;LES BAUX SAINTE CROIX;RSA seul;5;5
2024-12;27057;BERNIENVILLE;RSA seul;5;5
2024-12;27059;BERNOUVILLE;RSA seul;0;0
2024-12;27061;BERTHOUVILLE;RSA seul;5;10
2024-12;27065;BEUZEVILLE;RSA seul;55;85
2024-12;27069;BOIS ARNAULT;RSA seul;5;5
2024-12;27070;FRENELLES EN VEXIN;RSA seul;15;30
2024-12;27071;LE BOIS HELLAIN;RSA seul;0;0
2024-12;27075;BOIS NORMAND PRES LYRE;RSA seul;5;10
2024-12;27083;BONNEVILLE APTOT;RSA seul;5;10
2024-12;27085;FLANCOURT CRESCY EN ROUMOIS;RSA seul;10;10
2024-12;27091;BOSGOUET;RSA seul;0;0
2024-12;27095;BOSROBERT;RSA seul;0;0
2024-12;27099;LE BOULAY MORIN;RSA seul;5;10
2024-12;27100;BOULLEVILLE;RSA seul;10;15
2024-12;27101;BOUQUELON;RSA seul;0;0
2024-12;27103;BOURG ACHARD;RSA seul;100;260
2024-12;27105;GRAND BOURGTHEROULDE;RSA seul;25;50
2024-12;27109;BRAY;RSA seul;0;0
2024-12;27110;BRESTOT;RSA seul;0;0
2024-12;27112;BRETEUIL;RSA seul;95;195
2024-12;27114;BREUILPONT;RSA seul;10;20
2024-12;27116;BRIONNE;RSA seul;135;285
2024-12;27117;BROGLIE;RSA seul;30;75
2024-12;27119;BUEIL;RSA seul;10;30
2024-12;27126;CAMPIGNY;RSA seul;10;10
2024-12;27129;CAORCHES SAINT NICOLAS;RSA seul;5;10
2024-12;27136;CHAIGNES;RSA seul;5;5
2024-12;27138;CHAMBLAC;RSA seul;0;0
2024-12;27144;CHAMPIGNY LA FUTELAYE;RSA seul;0;0
2024-12;27146;LA CHAPELLE BAYVEL;RSA seul;0;0
2024-12;27151;CHARLEVAL;RSA seul;25;55
2024-12;27153;CHAUVINCOURT PROVEMONT;RSA seul;5;5
2024-12;27155;CHENNEBRUN;RSA seul;0;0
2024-12;27156;CHERONVILLIERS;RSA seul;10;20
2024-12;27157;MARBOIS;RSA seul;10;10
2024-12;27158;CIERREY;RSA seul;5;5
2024-12;27162;COLLANDRES QUINCARNON;RSA seul;0;0
2024-12;27164;COMBON;RSA seul;0;0
2024-12;27165;CONCHES EN OUCHE;RSA seul;120;220
2024-12;27173;CORNEVILLE LA FOUQUETIERE;RSA seul;0;0
2024-12;27179;COURBEPINE;RSA seul;5;10
2024-12;27180;COURCELLES SUR SEINE;RSA seul;15;25
2024-12;27183;LA COUTURE BOUSSEY;RSA seul;20;30
2024-12;27184;CRASVILLE;RSA seul;0;0
2024-12;27185;CRESTOT;RSA seul;0;0
2024-12;27188;CRIQUEBEUF SUR SEINE;RSA seul;10;15
2024-12;27192;CROSVILLE LA VIEILLE;RSA seul;0;0
2024-12;27196;LES DAMPS;RSA seul;10;15
2024-12;27202;DAUBEUF PRES VATTEVILLE;RSA seul;0;0
2024-12;27207;DRUCOURT;RSA seul;10;15
2024-12;27209;ECAQUELON;RSA seul;5;15
2024-12;27210;ECARDENVILLE LA CAMPAGNE;RSA seul;5;10
2024-12;27213;VEXIN SUR EPTE;RSA seul;45;80
2024-12;27214;ECOUIS;RSA seul;10;20
2024-12;27222;EPREVILLE EN LIEUVIN;RSA seul;5;5
2024-12;27224;EPREVILLE PRES LE NEUBOURG;RSA seul;0;0
